letter,startPosition,endPosition,timing,direction,blueMotionType,blueRotationDirection,blueSkewDir,blueStartLocation,blueEndLocation,redMotionType,redRotationDirection,redSkewDir,redStartLocation,redEndLocation,category
F,beta6,beta1,split,opp,anti,ccw,+,sw,n,pro,ccw,+,sw,n,2
F,beta6,gamma15,split,opp,anti,ccw,+,sw,n,pro,ccw,-,sw,w,2
F,beta6,gamma1,split,opp,anti,ccw,-,sw,w,pro,ccw,+,sw,n,2
F,beta6,beta7,split,opp,anti,ccw,-,sw,w,pro,ccw,-,sw,w,2
F,beta8,gamma9,split,opp,anti,ccw,+,nw,e,pro,ccw,+,nw,n,2
F,beta8,alpha7,split,opp,anti,ccw,+,nw,e,pro,ccw,-,nw,w,2
F,beta8,beta1,split,opp,anti,ccw,-,nw,n,pro,ccw,+,nw,n,2
F,beta8,gamma15,split,opp,anti,ccw,-,nw,n,pro,ccw,-,nw,w,2
F,beta2,beta1,split,opp,pro,ccw,+,ne,n,anti,ccw,+,ne,n,2
F,beta2,gamma15,split,opp,pro,ccw,+,ne,n,anti,ccw,-,ne,w,2
F,beta2,gamma1,split,opp,pro,ccw,-,ne,w,anti,ccw,+,ne,n,2
F,beta2,beta7,split,opp,pro,ccw,-,ne,w,anti,ccw,-,ne,w,2
F,beta4,gamma9,split,opp,pro,ccw,+,se,e,anti,ccw,+,se,n,2
F,beta4,alpha7,split,opp,pro,ccw,+,se,e,anti,ccw,-,se,w,2
F,beta4,beta1,split,opp,pro,ccw,-,se,n,anti,ccw,+,se,n,2
F,beta4,gamma15,split,opp,pro,ccw,-,se,n,anti,ccw,-,se,w,2
F,beta6,alpha1,split,opp,pro,ccw,+,sw,s,anti,ccw,+,sw,n,2
F,beta6,gamma7,split,opp,pro,ccw,+,sw,s,anti,ccw,-,sw,w,2
F,beta6,gamma9,split,opp,pro,ccw,-,sw,e,anti,ccw,+,sw,n,2
F,beta6,alpha7,split,opp,pro,ccw,-,sw,e,anti,ccw,-,sw,w,2
F,beta8,gamma1,split,opp,pro,ccw,+,nw,w,anti,ccw,+,nw,n,2
F,beta8,beta7,split,opp,pro,ccw,+,nw,w,anti,ccw,-,nw,w,2
F,beta8,alpha1,split,opp,pro,ccw,-,nw,s,anti,ccw,+,nw,n,2
F,beta8,gamma7,split,opp,pro,ccw,-,nw,s,anti,ccw,-,nw,w,2
F,beta2,alpha1,split,opp,pro,cw,+,ne,s,anti,cw,+,ne,n,2
F,beta2,gamma7,split,opp,pro,cw,+,ne,s,anti,cw,-,ne,w,2
F,beta2,gamma9,split,opp,pro,cw,-,ne,e,anti,cw,+,ne,n,2
F,beta2,alpha7,split,opp,pro,cw,-,ne,e,anti,cw,-,ne,w,2
F,beta4,gamma1,split,opp,pro,cw,+,se,w,anti,cw,+,se,n,2
F,beta4,beta7,split,opp,pro,cw,+,se,w,anti,cw,-,se,w,2
F,beta4,alpha1,split,opp,pro,cw,-,se,s,anti,cw,+,se,n,2
F,beta4,gamma7,split,opp,pro,cw,-,se,s,anti,cw,-,se,w,2
F,beta6,beta1,split,opp,pro,cw,+,sw,n,anti,cw,+,sw,n,2
F,beta6,gamma15,split,opp,pro,cw,+,sw,n,anti,cw,-,sw,w,2
F,beta6,gamma1,split,opp,pro,cw,-,sw,w,anti,cw,+,sw,n,2
F,beta6,beta7,split,opp,pro,cw,-,sw,w,anti,cw,-,sw,w,2
F,beta8,gamma9,split,opp,pro,cw,+,nw,e,anti,cw,+,nw,n,2
F,beta8,alpha7,split,opp,pro,cw,+,nw,e,anti,cw,-,nw,w,2
F,beta8,beta1,split,opp,pro,cw,-,nw,n,anti,cw,+,nw,n,2
F,beta8,gamma15,split,opp,pro,cw,-,nw,n,anti,cw,-,nw,w,2
G,beta2,alpha1,tog,same,pro,cw,+,ne,s,pro,cw,+,ne,n,2
G,beta2,gamma7,tog,same,pro,cw,+,ne,s,pro,cw,-,ne,w,2
G,beta2,gamma9,tog,same,pro,cw,-,ne,e,pro,cw,+,ne,n,2
G,beta2,alpha7,tog,same,pro,cw,-,ne,e,pro,cw,-,ne,w,2
G,beta4,gamma1,tog,same,pro,cw,+,se,w,pro,cw,+,se,n,2
G,beta4,beta7,tog,same,pro,cw,+,se,w,pro,cw,-,se,w,2
G,beta4,alpha1,tog,same,pro,cw,-,se,s,pro,cw,+,se,n,2
G,beta4,gamma7,tog,same,pro,cw,-,se,s,pro,cw,-,se,w,2
G,beta6,beta1,tog,same,pro,cw,+,sw,n,pro,cw,+,sw,n,2
G,beta6,gamma15,tog,same,pro,cw,+,sw,n,pro,cw,-,sw,w,2
G,beta6,gamma1,tog,same,pro,cw,-,sw,w,pro,cw,+,sw,n,2
G,beta6,beta7,tog,same,pro,cw,-,sw,w,pro,cw,-,sw,w,2
G,beta8,gamma9,tog,same,pro,cw,+,nw,e,pro,cw,+,nw,n,2
G,beta8,alpha7,tog,same,pro,cw,+,nw,e,pro,cw,-,nw,w,2
G,beta8,beta1,tog,same,pro,cw,-,nw,n,pro,cw,+,nw,n,2
G,beta8,gamma15,tog,same,pro,cw,-,nw,n,pro,cw,-,nw,w,2
G,beta2,beta1,tog,same,pro,ccw,+,ne,n,pro,ccw,+,ne,n,2
G,beta2,gamma15,tog,same,pro,ccw,+,ne,n,pro,ccw,-,ne,w,2
G,beta2,gamma1,tog,same,pro,ccw,-,ne,w,pro,ccw,+,ne,n,2
G,beta2,beta7,tog,same,pro,ccw,-,ne,w,pro,ccw,-,ne,w,2
G,beta4,gamma9,tog,same,pro,ccw,+,se,e,pro,ccw,+,se,n,2
G,beta4,alpha7,tog,same,pro,ccw,+,se,e,pro,ccw,-,se,w,2
G,beta4,beta1,tog,same,pro,ccw,-,se,n,pro,ccw,+,se,n,2
G,beta4,gamma15,tog,same,pro,ccw,-,se,n,pro,ccw,-,se,w,2
G,beta8,gamma1,tog,same,pro,ccw,+,nw,w,pro,ccw,+,nw,n,2
G,beta8,beta7,tog,same,pro,ccw,+,nw,w,pro,ccw,-,nw,w,2
G,beta8,alpha1,tog,same,pro,ccw,-,nw,s,pro,ccw,+,nw,n,2
G,beta8,gamma7,tog,same,pro,ccw,-,nw,s,pro,ccw,-,nw,w,2
G,beta6,alpha1,tog,same,pro,ccw,+,sw,s,pro,ccw,+,sw,n,2
G,beta6,gamma7,tog,same,pro,ccw,+,sw,s,pro,ccw,-,sw,w,2
G,beta6,gamma9,tog,same,pro,ccw,-,sw,e,pro,ccw,+,sw,n,2
G,beta6,alpha7,tog,same,pro,ccw,-,sw,e,pro,ccw,-,sw,w,2
H,beta2,alpha1,tog,same,anti,ccw,+,ne,s,anti,ccw,+,ne,n,2
H,beta2,gamma7,tog,same,anti,ccw,+,ne,s,anti,ccw,-,ne,w,2
H,beta2,gamma9,tog,same,anti,ccw,-,ne,e,anti,ccw,+,ne,n,2
H,beta2,alpha7,tog,same,anti,ccw,-,ne,e,anti,ccw,-,ne,w,2
H,beta4,gamma1,tog,same,anti,ccw,+,se,w,anti,ccw,+,se,n,2
H,beta4,beta7,tog,same,anti,ccw,+,se,w,anti,ccw,-,se,w,2
H,beta4,alpha1,tog,same,anti,ccw,-,se,s,anti,ccw,+,se,n,2
H,beta4,gamma7,tog,same,anti,ccw,-,se,s,anti,ccw,-,se,w,2
H,beta6,beta1,tog,same,anti,ccw,+,sw,n,anti,ccw,+,sw,n,2
H,beta6,gamma15,tog,same,anti,ccw,+,sw,n,anti,ccw,-,sw,w,2
H,beta6,gamma1,tog,same,anti,ccw,-,sw,w,anti,ccw,+,sw,n,2
H,beta6,beta7,tog,same,anti,ccw,-,sw,w,anti,ccw,-,sw,w,2
H,beta8,gamma9,tog,same,anti,ccw,+,nw,e,anti,ccw,+,nw,n,2
H,beta8,alpha7,tog,same,anti,ccw,+,nw,e,anti,ccw,-,nw,w,2
H,beta8,beta1,tog,same,anti,ccw,-,nw,n,anti,ccw,+,nw,n,2
H,beta8,gamma15,tog,same,anti,ccw,-,nw,n,anti,ccw,-,nw,w,2
H,beta2,beta1,tog,same,anti,cw,+,ne,n,anti,cw,+,ne,n,2
H,beta2,gamma15,tog,same,anti,cw,+,ne,n,anti,cw,-,ne,w,2
H,beta2,gamma1,tog,same,anti,cw,-,ne,w,anti,cw,+,ne,n,2
H,beta2,beta7,tog,same,anti,cw,-,ne,w,anti,cw,-,ne,w,2
H,beta8,gamma1,tog,same,anti,cw,+,nw,w,anti,cw,+,nw,n,2
H,beta8,beta7,tog,same,anti,cw,+,nw,w,anti,cw,-,nw,w,2
H,beta8,alpha1,tog,same,anti,cw,-,nw,s,anti,cw,+,nw,n,2
H,beta8,gamma7,tog,same,anti,cw,-,nw,s,anti,cw,-,nw,w,2
H,beta6,alpha1,tog,same,anti,cw,+,sw,s,anti,cw,+,sw,n,2
H,beta6,gamma7,tog,same,anti,cw,+,sw,s,anti,cw,-,sw,w,2
H,beta6,gamma9,tog,same,anti,cw,-,sw,e,anti,cw,+,sw,n,2
H,beta6,alpha7,tog,same,anti,cw,-,sw,e,anti,cw,-,sw,w,2
H,beta4,gamma9,tog,same,anti,cw,+,se,e,anti,cw,+,se,n,2
H,beta4,alpha7,tog,same,anti,cw,+,se,e,anti,cw,-,se,w,2
H,beta4,beta1,tog,same,anti,cw,-,se,n,anti,cw,+,se,n,2
H,beta4,gamma15,tog,same,anti,cw,-,se,n,anti,cw,-,se,w,2
I,beta2,alpha1,tog,same,anti,ccw,+,ne,s,pro,cw,+,ne,n,2
I,beta2,gamma7,tog,same,anti,ccw,+,ne,s,pro,cw,-,ne,w,2
I,beta2,gamma9,tog,same,anti,ccw,-,ne,e,pro,cw,+,ne,n,2
I,beta2,alpha7,tog,same,anti,ccw,-,ne,e,pro,cw,-,ne,w,2
I,beta4,gamma1,tog,same,anti,ccw,+,se,w,pro,cw,+,se,n,2
I,beta4,beta7,tog,same,anti,ccw,+,se,w,pro,cw,-,se,w,2
I,beta4,alpha1,tog,same,anti,ccw,-,se,s,pro,cw,+,se,n,2
I,beta4,gamma7,tog,same,anti,ccw,-,se,s,pro,cw,-,se,w,2
I,beta6,beta1,tog,same,anti,ccw,+,sw,n,pro,cw,+,sw,n,2
I,beta6,gamma15,tog,same,anti,ccw,+,sw,n,pro,cw,-,sw,w,2
I,beta6,gamma1,tog,same,anti,ccw,-,sw,w,pro,cw,+,sw,n,2
I,beta6,beta7,tog,same,anti,ccw,-,sw,w,pro,cw,-,sw,w,2
I,beta8,gamma9,tog,same,anti,ccw,+,nw,e,pro,cw,+,nw,n,2
I,beta8,alpha7,tog,same,anti,ccw,+,nw,e,pro,cw,-,nw,w,2
I,beta8,beta1,tog,same,anti,ccw,-,nw,n,pro,cw,+,nw,n,2
I,beta8,gamma15,tog,same,anti,ccw,-,nw,n,pro,cw,-,nw,w,2
I,beta2,alpha1,tog,same,pro,cw,+,ne,s,anti,ccw,+,ne,n,2
I,beta2,gamma7,tog,same,pro,cw,+,ne,s,anti,ccw,-,ne,w,2
I,beta2,gamma9,tog,same,pro,cw,-,ne,e,anti,ccw,+,ne,n,2
I,beta2,alpha7,tog,same,pro,cw,-,ne,e,anti,ccw,-,ne,w,2
I,beta4,gamma1,tog,same,pro,cw,+,se,w,anti,ccw,+,se,n,2
I,beta4,beta7,tog,same,pro,cw,+,se,w,anti,ccw,-,se,w,2
I,beta4,alpha1,tog,same,pro,cw,-,se,s,anti,ccw,+,se,n,2
I,beta4,gamma7,tog,same,pro,cw,-,se,s,anti,ccw,-,se,w,2
I,beta6,beta1,tog,same,pro,cw,+,sw,n,anti,ccw,+,sw,n,2
I,beta6,gamma15,tog,same,pro,cw,+,sw,n,anti,ccw,-,sw,w,2
I,beta6,gamma1,tog,same,pro,cw,-,sw,w,anti,ccw,+,sw,n,2
I,beta6,beta7,tog,same,pro,cw,-,sw,w,anti,ccw,-,sw,w,2
I,beta8,gamma9,tog,same,pro,cw,+,nw,e,anti,ccw,+,nw,n,2
I,beta8,alpha7,tog,same,pro,cw,+,nw,e,anti,ccw,-,nw,w,2
I,beta8,beta1,tog,same,pro,cw,-,nw,n,anti,ccw,+,nw,n,2
I,beta8,gamma15,tog,same,pro,cw,-,nw,n,anti,ccw,-,nw,w,2
I,beta2,beta1,tog,same,anti,cw,+,ne,n,pro,ccw,+,ne,n,2
I,beta2,gamma15,tog,same,anti,cw,+,ne,n,pro,ccw,-,ne,w,2
I,beta2,gamma1,tog,same,anti,cw,-,ne,w,pro,ccw,+,ne,n,2
I,beta2,beta7,tog,same,anti,cw,-,ne,w,pro,ccw,-,ne,w,2
I,beta8,gamma1,tog,same,anti,cw,+,nw,w,pro,ccw,+,nw,n,2
I,beta8,beta7,tog,same,anti,cw,+,nw,w,pro,ccw,-,nw,w,2
I,beta8,alpha1,tog,same,anti,cw,-,nw,s,pro,ccw,+,nw,n,2
I,beta8,gamma7,tog,same,anti,cw,-,nw,s,pro,ccw,-,nw,w,2
I,beta6,alpha1,tog,same,anti,cw,+,sw,s,pro,ccw,+,sw,n,2
I,beta6,gamma7,tog,same,anti,cw,+,sw,s,pro,ccw,-,sw,w,2
I,beta6,gamma9,tog,same,anti,cw,-,sw,e,pro,ccw,+,sw,n,2
I,beta6,alpha7,tog,same,anti,cw,-,sw,e,pro,ccw,-,sw,w,2
I,beta4,gamma9,tog,same,anti,cw,+,se,e,pro,ccw,+,se,n,2
I,beta4,alpha7,tog,same,anti,cw,+,se,e,pro,ccw,-,se,w,2
I,beta4,beta1,tog,same,anti,cw,-,se,n,pro,ccw,+,se,n,2
I,beta4,gamma15,tog,same,anti,cw,-,se,n,pro,ccw,-,se,w,2
I,beta2,beta1,tog,same,pro,ccw,+,ne,n,anti,cw,+,ne,n,2
I,beta2,gamma15,tog,same,pro,ccw,+,ne,n,anti,cw,-,ne,w,2
I,beta2,gamma1,tog,same,pro,ccw,-,ne,w,anti,cw,+,ne,n,2
I,beta2,beta7,tog,same,pro,ccw,-,ne,w,anti,cw,-,ne,w,2
I,beta8,gamma1,tog,same,pro,ccw,+,nw,w,anti,cw,+,nw,n,2
I,beta8,beta7,tog,same,pro,ccw,+,nw,w,anti,cw,-,nw,w,2
I,beta8,alpha1,tog,same,pro,ccw,-,nw,s,anti,cw,+,nw,n,2
I,beta8,gamma7,tog,same,pro,ccw,-,nw,s,anti,cw,-,nw,w,2
I,beta6,alpha1,tog,same,pro,ccw,+,sw,s,anti,cw,+,sw,n,2
I,beta6,gamma7,tog,same,pro,ccw,+,sw,s,anti,cw,-,sw,w,2
I,beta6,gamma9,tog,same,pro,ccw,-,sw,e,anti,cw,+,sw,n,2
I,beta6,alpha7,tog,same,pro,ccw,-,sw,e,anti,cw,-,sw,w,2
I,beta4,gamma9,tog,same,pro,ccw,+,se,e,anti,cw,+,se,n,2
I,beta4,alpha7,tog,same,pro,ccw,+,se,e,anti,cw,-,se,w,2
I,beta4,beta1,tog,same,pro,ccw,-,se,n,anti,cw,+,se,n,2
I,beta4,gamma15,tog,same,pro,ccw,-,se,n,anti,cw,-,se,w,2
J,alpha2,alpha1,quarter,opp,pro,ccw,+,sw,s,pro,cw,+,ne,n,2
J,alpha2,gamma7,quarter,opp,pro,ccw,+,sw,s,pro,cw,-,ne,w,2
J,alpha2,gamma9,quarter,opp,pro,ccw,-,sw,e,pro,cw,+,ne,n,2
J,alpha2,alpha7,quarter,opp,pro,ccw,-,sw,e,pro,cw,-,ne,w,2
J,alpha4,gamma1,quarter,opp,pro,ccw,+,nw,w,pro,cw,+,se,n,2
J,alpha4,beta7,quarter,opp,pro,ccw,+,nw,w,pro,cw,-,se,w,2
J,alpha4,alpha1,quarter,opp,pro,ccw,-,nw,s,pro,cw,+,se,n,2
J,alpha4,gamma7,quarter,opp,pro,ccw,-,nw,s,pro,cw,-,se,w,2
J,alpha6,beta1,quarter,opp,pro,ccw,+,ne,n,pro,cw,+,sw,n,2
J,alpha6,gamma15,quarter,opp,pro,ccw,+,ne,n,pro,cw,-,sw,w,2
J,alpha6,gamma1,quarter,opp,pro,ccw,-,ne,w,pro,cw,+,sw,n,2
J,alpha6,beta7,quarter,opp,pro,ccw,-,ne,w,pro,cw,-,sw,w,2
J,alpha8,gamma9,quarter,opp,pro,ccw,+,se,e,pro,cw,+,nw,n,2
J,alpha8,alpha7,quarter,opp,pro,ccw,+,se,e,pro,cw,-,nw,w,2
J,alpha8,beta1,quarter,opp,pro,ccw,-,se,n,pro,cw,+,nw,n,2
J,alpha8,gamma15,quarter,opp,pro,ccw,-,se,n,pro,cw,-,nw,w,2
J,alpha2,beta1,quarter,opp,pro,cw,+,sw,n,pro,ccw,+,ne,n,2
J,alpha2,gamma15,quarter,opp,pro,cw,+,sw,n,pro,ccw,-,ne,w,2
J,alpha2,gamma1,quarter,opp,pro,cw,-,sw,w,pro,ccw,+,ne,n,2
J,alpha2,beta7,quarter,opp,pro,cw,-,sw,w,pro,ccw,-,ne,w,2
J,alpha4,gamma9,quarter,opp,pro,cw,+,nw,e,pro,ccw,+,se,n,2
J,alpha4,alpha7,quarter,opp,pro,cw,+,nw,e,pro,ccw,-,se,w,2
J,alpha4,beta1,quarter,opp,pro,cw,-,nw,n,pro,ccw,+,se,n,2
J,alpha4,gamma15,quarter,opp,pro,cw,-,nw,n,pro,ccw,-,se,w,2
J,alpha6,alpha1,quarter,opp,pro,cw,+,ne,s,pro,ccw,+,sw,n,2
J,alpha6,gamma7,quarter,opp,pro,cw,+,ne,s,pro,ccw,-,sw,w,2
J,alpha6,gamma9,quarter,opp,pro,cw,-,ne,e,pro,ccw,+,sw,n,2
J,alpha6,alpha7,quarter,opp,pro,cw,-,ne,e,pro,ccw,-,sw,w,2
J,alpha8,gamma1,quarter,opp,pro,cw,+,se,w,pro,ccw,+,nw,n,2
J,alpha8,beta7,quarter,opp,pro,cw,+,se,w,pro,ccw,-,nw,w,2
J,alpha8,alpha1,quarter,opp,pro,cw,-,se,s,pro,ccw,+,nw,n,2
J,alpha8,gamma7,quarter,opp,pro,cw,-,se,s,pro,ccw,-,nw,w,2
K,alpha2,alpha1,quarter,opp,anti,cw,+,sw,s,anti,ccw,+,ne,n,2
K,alpha2,gamma7,quarter,opp,anti,cw,+,sw,s,anti,ccw,-,ne,w,2
K,alpha2,gamma9,quarter,opp,anti,cw,-,sw,e,anti,ccw,+,ne,n,2
K,alpha2,alpha7,quarter,opp,anti,cw,-,sw,e,anti,ccw,-,ne,w,2
K,alpha4,gamma1,quarter,opp,anti,cw,+,nw,w,anti,ccw,+,se,n,2
K,alpha4,beta7,quarter,opp,anti,cw,+,nw,w,anti,ccw,-,se,w,2
K,alpha4,alpha1,quarter,opp,anti,cw,-,nw,s,anti,ccw,+,se,n,2
K,alpha4,gamma7,quarter,opp,anti,cw,-,nw,s,anti,ccw,-,se,w,2
K,alpha6,beta1,quarter,opp,anti,cw,+,ne,n,anti,ccw,+,sw,n,2
K,alpha6,gamma15,quarter,opp,anti,cw,+,ne,n,anti,ccw,-,sw,w,2
K,alpha6,gamma1,quarter,opp,anti,cw,-,ne,w,anti,ccw,+,sw,n,2
K,alpha6,beta7,quarter,opp,anti,cw,-,ne,w,anti,ccw,-,sw,w,2
K,alpha8,gamma9,quarter,opp,anti,cw,+,se,e,anti,ccw,+,nw,n,2
K,alpha8,alpha7,quarter,opp,anti,cw,+,se,e,anti,ccw,-,nw,w,2
K,alpha8,beta1,quarter,opp,anti,cw,-,se,n,anti,ccw,+,nw,n,2
K,alpha8,gamma15,quarter,opp,anti,cw,-,se,n,anti,ccw,-,nw,w,2
K,alpha2,beta1,quarter,opp,anti,ccw,+,sw,n,anti,cw,+,ne,n,2
K,alpha2,gamma15,quarter,opp,anti,ccw,+,sw,n,anti,cw,-,ne,w,2
K,alpha2,gamma1,quarter,opp,anti,ccw,-,sw,w,anti,cw,+,ne,n,2
K,alpha2,beta7,quarter,opp,anti,ccw,-,sw,w,anti,cw,-,ne,w,2
K,alpha4,gamma9,quarter,opp,anti,ccw,+,nw,e,anti,cw,+,se,n,2
K,alpha4,alpha7,quarter,opp,anti,ccw,+,nw,e,anti,cw,-,se,w,2
K,alpha4,beta1,quarter,opp,anti,ccw,-,nw,n,anti,cw,+,se,n,2
K,alpha4,gamma15,quarter,opp,anti,ccw,-,nw,n,anti,cw,-,se,w,2
K,alpha6,alpha1,quarter,opp,anti,ccw,+,ne,s,anti,cw,+,sw,n,2
K,alpha6,gamma7,quarter,opp,anti,ccw,+,ne,s,anti,cw,-,sw,w,2
K,alpha6,gamma9,quarter,opp,anti,ccw,-,ne,e,anti,cw,+,sw,n,2
K,alpha6,alpha7,quarter,opp,anti,ccw,-,ne,e,anti,cw,-,sw,w,2
K,alpha8,gamma1,quarter,opp,anti,ccw,+,se,w,anti,cw,+,nw,n,2
K,alpha8,beta7,quarter,opp,anti,ccw,+,se,w,anti,cw,-,nw,w,2
K,alpha8,alpha1,quarter,opp,anti,ccw,-,se,s,anti,cw,+,nw,n,2
K,alpha8,gamma7,quarter,opp,anti,ccw,-,se,s,anti,cw,-,nw,w,2
L,alpha2,alpha1,quarter,opp,anti,cw,+,sw,s,pro,cw,+,ne,n,2
L,alpha2,gamma7,quarter,opp,anti,cw,+,sw,s,pro,cw,-,ne,w,2
L,alpha2,gamma9,quarter,opp,anti,cw,-,sw,e,pro,cw,+,ne,n,2
L,alpha2,alpha7,quarter,opp,anti,cw,-,sw,e,pro,cw,-,ne,w,2
L,alpha4,gamma1,quarter,opp,anti,cw,+,nw,w,pro,cw,+,se,n,2
L,alpha4,beta7,quarter,opp,anti,cw,+,nw,w,pro,cw,-,se,w,2
L,alpha4,alpha1,quarter,opp,anti,cw,-,nw,s,pro,cw,+,se,n,2
L,alpha4,gamma7,quarter,opp,anti,cw,-,nw,s,pro,cw,-,se,w,2
L,alpha6,beta1,quarter,opp,anti,cw,+,ne,n,pro,cw,+,sw,n,2
L,alpha6,gamma15,quarter,opp,anti,cw,+,ne,n,pro,cw,-,sw,w,2
L,alpha6,gamma1,quarter,opp,anti,cw,-,ne,w,pro,cw,+,sw,n,2
L,alpha6,beta7,quarter,opp,anti,cw,-,ne,w,pro,cw,-,sw,w,2
L,alpha8,gamma9,quarter,opp,anti,cw,+,se,e,pro,cw,+,nw,n,2
L,alpha8,alpha7,quarter,opp,anti,cw,+,se,e,pro,cw,-,nw,w,2
L,alpha8,beta1,quarter,opp,anti,cw,-,se,n,pro,cw,+,nw,n,2
L,alpha8,gamma15,quarter,opp,anti,cw,-,se,n,pro,cw,-,nw,w,2
L,alpha2,beta1,quarter,opp,anti,ccw,+,sw,n,pro,ccw,+,ne,n,2
L,alpha2,gamma15,quarter,opp,anti,ccw,+,sw,n,pro,ccw,-,ne,w,2
L,alpha2,gamma1,quarter,opp,anti,ccw,-,sw,w,pro,ccw,+,ne,n,2
L,alpha2,beta7,quarter,opp,anti,ccw,-,sw,w,pro,ccw,-,ne,w,2
L,alpha4,gamma9,quarter,opp,anti,ccw,+,nw,e,pro,ccw,+,se,n,2
L,alpha4,alpha7,quarter,opp,anti,ccw,+,nw,e,pro,ccw,-,se,w,2
L,alpha4,beta1,quarter,opp,anti,ccw,-,nw,n,pro,ccw,+,se,n,2
L,alpha4,gamma15,quarter,opp,anti,ccw,-,nw,n,pro,ccw,-,se,w,2
L,alpha6,alpha1,quarter,opp,anti,ccw,+,ne,s,pro,ccw,+,sw,n,2
L,alpha6,gamma7,quarter,opp,anti,ccw,+,ne,s,pro,ccw,-,sw,w,2
L,alpha6,gamma9,quarter,opp,anti,ccw,-,ne,e,pro,ccw,+,sw,n,2
L,alpha6,alpha7,quarter,opp,anti,ccw,-,ne,e,pro,ccw,-,sw,w,2
L,alpha8,gamma1,quarter,opp,anti,ccw,+,se,w,pro,ccw,+,nw,n,2
L,alpha8,beta7,quarter,opp,anti,ccw,+,se,w,pro,ccw,-,nw,w,2
L,alpha8,alpha1,quarter,opp,anti,ccw,-,se,s,pro,ccw,+,nw,n,2
L,alpha8,gamma7,quarter,opp,anti,ccw,-,se,s,pro,ccw,-,nw,w,2
L,alpha2,alpha1,quarter,opp,pro,ccw,+,sw,s,anti,ccw,+,ne,n,2
L,alpha2,gamma7,quarter,opp,pro,ccw,+,sw,s,anti,ccw,-,ne,w,2
L,alpha2,gamma9,quarter,opp,pro,ccw,-,sw,e,anti,ccw,+,ne,n,2
L,alpha2,alpha7,quarter,opp,pro,ccw,-,sw,e,anti,ccw,-,ne,w,2
L,alpha4,gamma1,quarter,opp,pro,ccw,+,nw,w,anti,ccw,+,se,n,2
L,alpha4,beta7,quarter,opp,pro,ccw,+,nw,w,anti,ccw,-,se,w,2
L,alpha4,alpha1,quarter,opp,pro,ccw,-,nw,s,anti,ccw,+,se,n,2
L,alpha4,gamma7,quarter,opp,pro,ccw,-,nw,s,anti,ccw,-,se,w,2
L,alpha6,beta1,quarter,opp,pro,ccw,+,ne,n,anti,ccw,+,sw,n,2
L,alpha6,gamma15,quarter,opp,pro,ccw,+,ne,n,anti,ccw,-,sw,w,2
L,alpha6,gamma1,quarter,opp,pro,ccw,-,ne,w,anti,ccw,+,sw,n,2
L,alpha6,beta7,quarter,opp,pro,ccw,-,ne,w,anti,ccw,-,sw,w,2
L,alpha8,gamma9,quarter,opp,pro,ccw,+,se,e,anti,ccw,+,nw,n,2
L,alpha8,alpha7,quarter,opp,pro,ccw,+,se,e,anti,ccw,-,nw,w,2
L,alpha8,beta1,quarter,opp,pro,ccw,-,se,n,anti,ccw,+,nw,n,2
L,alpha8,gamma15,quarter,opp,pro,ccw,-,se,n,anti,ccw,-,nw,w,2
L,alpha2,beta1,quarter,opp,pro,cw,+,sw,n,anti,cw,+,ne,n,2
L,alpha2,gamma15,quarter,opp,pro,cw,+,sw,n,anti,cw,-,ne,w,2
L,alpha2,gamma1,quarter,opp,pro,cw,-,sw,w,anti,cw,+,ne,n,2
L,alpha2,beta7,quarter,opp,pro,cw,-,sw,w,anti,cw,-,ne,w,2
L,alpha4,gamma9,quarter,opp,pro,cw,+,nw,e,anti,cw,+,se,n,2
L,alpha4,alpha7,quarter,opp,pro,cw,+,nw,e,anti,cw,-,se,w,2
L,alpha4,beta1,quarter,opp,pro,cw,-,nw,n,anti,cw,+,se,n,2
L,alpha4,gamma15,quarter,opp,pro,cw,-,nw,n,anti,cw,-,se,w,2
L,alpha6,alpha1,quarter,opp,pro,cw,+,ne,s,anti,cw,+,sw,n,2
L,alpha6,gamma7,quarter,opp,pro,cw,+,ne,s,anti,cw,-,sw,w,2
L,alpha6,gamma9,quarter,opp,pro,cw,-,ne,e,anti,cw,+,sw,n,2
L,alpha6,alpha7,quarter,opp,pro,cw,-,ne,e,anti,cw,-,sw,w,2
L,alpha8,gamma1,quarter,opp,pro,cw,+,se,w,anti,cw,+,nw,n,2
L,alpha8,beta7,quarter,opp,pro,cw,+,se,w,anti,cw,-,nw,w,2
L,alpha8,alpha1,quarter,opp,pro,cw,-,se,s,anti,cw,+,nw,n,2
L,alpha8,gamma7,quarter,opp,pro,cw,-,se,s,anti,cw,-,nw,w,2
M,gamma10,gamma1,split,opp,pro,cw,+,se,w,pro,ccw,+,ne,n,2
M,gamma10,beta7,split,opp,pro,cw,+,se,w,pro,ccw,-,ne,w,2
M,gamma10,alpha1,split,opp,pro,cw,-,se,s,pro,ccw,+,ne,n,2
M,gamma10,gamma7,split,opp,pro,cw,-,se,s,pro,ccw,-,ne,w,2
M,gamma12,beta1,tog,opp,pro,cw,+,sw,n,pro,ccw,+,se,n,2
M,gamma12,gamma15,tog,opp,pro,cw,+,sw,n,pro,ccw,-,se,w,2
M,gamma12,gamma1,tog,opp,pro,cw,-,sw,w,pro,ccw,+,se,n,2
M,gamma12,beta7,tog,opp,pro,cw,-,sw,w,pro,ccw,-,se,w,2
M,gamma14,gamma9,split,opp,pro,cw,+,nw,e,pro,ccw,+,sw,n,2
